,trainer_id,dnf,n_horses,n_starts,dnf_pct,smoothed_dnf_pct,smoothed_dnf_percentile
0,0,0,689,752,0.0,0.002465543836940733,100.0
1,5,1,35,303,0.0033003300330033004,0.004449407445846992,78.0
2,7,1,23,96,0.010416666666666666,0.005526526974315671,20.0
3,20,0,4,35,0.0,0.004691751165834284,64.0
4,22,2,42,174,0.011494252873563218,0.006136258879311615,10.0
5,32,1,69,427,0.00234192037470726,0.003984240840994309,92.0
6,65,0,1,1,0.0,0.004901622186190927,30.0
7,71,1,11,101,0.009900990099009901,0.005494399130033279,20.0
8,75,1,21,97,0.010309278350515464,0.0055200713823718274,20.0
9,83,1,241,1010,0.0009900990099009901,0.002671237717940164,100.0
10,90,0,31,197,0.0,0.0038967750601005603,93.0
11,94,8,167,669,0.01195814648729447,0.008210753444914858,2.0
12,104,3,55,298,0.010067114093959731,0.006362450902857967,8.0
13,120,1,36,340,0.0029411764705882353,0.004299620785422291,83.0
14,125,0,1,2,0.0,0.00489518186661937,34.0
15,126,0,13,107,0.0,0.004301712549790674,83.0
16,130,0,3,27,0.0,0.004739499274324685,60.0
17,137,0,5,35,0.0,0.004691751165834284,64.0
18,138,0,4,36,0.0,0.004685850213238839,65.0
19,149,1,5,23,0.043478260869565216,0.0060423751810128054,11.0
20,151,1,6,49,0.02040816326530612,0.005847962452983054,14.0
21,171,2,96,562,0.0035587188612099642,0.0043340502360092875,82.0
22,229,0,3,14,0.0,0.004819197619199635,51.0
23,232,0,21,83,0.0,0.004424314498249,79.0
24,242,0,29,162,0.0,0.0040448475192492415,90.0
25,256,1,15,50,0.02,0.005840734569732977,15.0
26,280,0,16,44,0.0,0.004639171638939559,68.0
27,281,0,1,1,0.0,0.004901622186190927,30.0
28,282,0,16,169,0.0,0.004014339567293113,91.0
29,290,1,144,736,0.001358695652173913,0.003160788329365709,99.0
30,298,1,90,523,0.0019120458891013384,0.003685908428195379,96.0
31,301,0,1,1,0.0,0.004901622186190927,30.0
32,319,13,144,1268,0.01025236593059937,0.008251086602784704,2.0
33,337,0,12,62,0.0,0.004537470569379829,73.0
34,338,1,51,457,0.002188183807439825,0.0038859521901523845,93.0
35,342,1,64,594,0.0016835016835016834,0.0034924987372212143,97.0
36,349,0,5,37,0.0,0.004679964085598778,65.0
37,360,1,11,69,0.014492753623188406,0.005706721597221012,17.0
38,363,0,1,30,0.0,0.004721480275835839,62.0
39,364,2,13,83,0.024096385542168676,0.006799375342026443,5.0
40,367,0,1,5,0.0,0.00487596205367687,40.0
41,384,0,1,3,0.0,0.004888758448917394,37.0
42,404,1,71,495,0.00202020202020202,0.0037682039215410474,95.0
43,423,0,32,161,0.0,0.0040492436927298935,90.0
44,429,1,31,192,0.005208333333333333,0.004968693215889522,27.0
45,439,0,1,1,0.0,0.004901622186190927,30.0
46,453,2,55,423,0.004728132387706856,0.004843686726007427,48.0
47,455,0,20,122,0.0,0.004228478089820865,86.0
48,457,1,16,145,0.006896551724137931,0.005226997379158924,24.0
49,469,4,146,958,0.0041753653444676405,0.004499281615320686,75.0
50,480,1,46,352,0.002840909090909091,0.0042531837349320326,85.0
51,488,2,148,688,0.0029069767441860465,0.003956677224759078,92.0
52,489,1,75,475,0.002105263157894737,0.0038292727769384392,94.0
53,494,1,12,69,0.014492753623188406,0.005706721597221012,17.0
54,501,0,1,11,0.0,0.004837971673292491,49.0
55,504,0,58,250,0.0,0.0036921051400811084,96.0
56,515,0,2,7,0.0,0.004863232473043695,43.0
57,518,0,42,180,0.0,0.003967317416129549,92.0
58,527,1,41,389,0.002570694087403599,0.0041161137638811955,88.0
59,530,0,3,8,0.0,0.0048568925748884075,45.0
60,531,4,133,705,0.005673758865248227,0.005276776956756968,23.0
61,547,1,79,529,0.001890359168241966,0.003668739162924944,96.0
62,558,1,27,196,0.00510204081632653,0.0049478837590162215,28.0
